"","contrast","estimate","SE","df","t.ratio","p.value","normalTest","Covariance","traits"
"1","high - low",1.01087257051176,0.0283252782470866,112,0.381775210991295,0.922862721282688,0.231532779933918,"(0) Cov","c-shed"
"2","high - med",1.03031610615452,0.0283952605112483,112,1.05178307221175,0.545960471132592,0.231532779933918,"(0) Cov","c-shed"
"3","low - med",1.01923440818354,0.0198235652936338,112,0.961066537497349,0.602931907190198,0.231532779933918,"(0) Cov","c-shed"
"4","low - med",1.21753836463138,0.0174963975335422,95,11.2498064868309,3.6428313492399e-19,0.0320926943459086,"(-) Cov","c-shed"
"5","high - low",1.2395044182631,0.0227206938607205,121,9.45004753620976,3.70814490224802e-14,0.444760040995696,"(+) Cov","c-shed"
"6","high - med",1.13705328115358,0.0227206938607204,121,5.65299966764617,3.19891147126938e-07,0.444760040995696,"(+) Cov","c-shed"
"7","low - med",0.917345081146962,0.018298957515944,121,-4.71456158750935,1.9424187039041e-05,0.444760040995696,"(+) Cov","c-shed"
"8","high - low",1.02384689294071,0.0154923264227654,140,1.52120451006465,0.284108808672999,0.860598576391771,"(0) Cov","c-alpha"
"9","high - med",1.01034699742627,0.0155661477594311,140,0.661296154745717,0.786261695513677,0.860598576391771,"(0) Cov","c-alpha"
"10","low - med",0.986814536814523,0.01506602236205,140,-0.880999831888138,0.653168079831465,0.860598576391771,"(0) Cov","c-alpha"
"11","high - low",1.22875160841645,0.0157092754707806,141,13.1131892013391,0,0.275426969543612,"(-) Cov","c-alpha"
"12","high - med",1.14134921323567,0.0157850238228153,141,8.37572907488021,1.30340183090993e-13,0.275426969543612,"(-) Cov","c-alpha"
"13","low - med",0.928868947489386,0.0153680996134221,141,-4.80134957086203,1.18238583075581e-05,0.275426969543612,"(-) Cov","c-alpha"
"14","high - low",1.18351720336346,0.0158792387283639,139,10.6107533714191,2.4757973449141e-14,0.155720182022087,"(+) Cov","c-alpha"
"15","high - med",1.10125751896568,0.0159539813301246,139,6.04568376468234,3.88473667678468e-08,0.155720182022087,"(+) Cov","c-alpha"
"16","low - med",0.930495573563272,0.0153476536079505,139,-4.69374419068585,1.88832724205001e-05,0.155720182022087,"(+) Cov","c-alpha"
"17","high - low",1.19026711421023,0.0140875628013561,133,12.3639376174344,0,0.165242028693577,"(0) Cov","c-gamma"
"18","high - med",1.17397488522199,0.0141485660504483,133,11.3365077506543,0,0.165242028693577,"(0) Cov","c-gamma"
"19","low - med",0.986312123729429,0.0130586011721307,133,-1.05542843252758,0.543403868162693,0.165242028693577,"(0) Cov","c-gamma"
"20","high - low",1.33019872231376,0.0148040252902954,143,19.2737002775088,0,0.108590521635404,"(-) Cov","c-gamma"
"21","high - med",1.19689150973599,0.014877039972029,143,12.0808835403378,0,0.108590521635404,"(-) Cov","c-gamma"
"22","low - med",0.899783986902432,0.0146474639385292,143,-7.20947731716249,8.96438479003336e-11,0.108590521635404,"(-) Cov","c-gamma"
"23","high - low",1.31025278336614,0.0133315401619383,137,20.2692321905119,1.01030295240889e-14,0.893272644251448,"(+) Cov","c-gamma"
"24","high - med",1.26340189203281,0.0133315401619383,137,17.5379584214239,1.01030295240889e-14,0.893272644251448,"(+) Cov","c-gamma"
"25","low - med",0.964242860669246,0.0125690966028898,137,-2.89695330509858,0.0121330343165716,0.893272644251448,"(+) Cov","c-gamma"
"26","high - low",0.93290328045368,0.0180528708865884,139,-3.84724119799615,0.00052929177786587,0.186736516694107,"(0) Cov","shed-alpha"
"27","high - med",0.922931269160556,0.0181378446414639,139,-4.42172228575339,5.79812312124783e-05,0.186736516694107,"(0) Cov","shed-alpha"
"28","low - med",0.989310776902538,0.017448519651103,139,-0.615912608324122,0.811668402224551,0.186736516694107,"(0) Cov","shed-alpha"
"29","high - low",1.06786898397514,0.0146299975540699,142,4.48838481275501,4.3614348359533e-05,0.826511419034253,"(-) Cov","shed-alpha"
"30","high - med",1.02608233285965,0.0147013562520232,142,1.75140235632048,0.189924163439938,0.826511419034253,"(-) Cov","shed-alpha"
"31","low - med",0.960869121828088,0.0143948488864674,142,-2.77301062110879,0.0172243902040358,0.826511419034253,"(-) Cov","shed-alpha"
"32","high - low",0.977096639734744,0.0167632782003073,139,-1.38217100376669,0.353005581756876,0.428493508873589,"(+) Cov","shed-alpha"
"33","high - med",0.950694984312029,0.0167632782003073,139,-3.01623577506882,0.00850226953396616,0.428493508873589,"(+) Cov","shed-alpha"
"34","low - med",0.972979483963958,0.0160178669486389,139,-1.71010799668222,0.205024029215873,0.428493508873589,"(+) Cov","shed-alpha"
"35","high - low",1.09084576035315,0.014960216045707,136,5.81230391521165,1.25034698483795e-07,0.87511454126605,"(0) Cov","shed-gamma"
"36","high - med",1.05499531134161,0.0150279096767014,136,3.56245970623531,0.00146363339180977,0.87511454126605,"(0) Cov","shed-gamma"
"37","low - med",0.967135180504407,0.0141764066875042,136,-2.35722636485439,0.0515418288477654,0.87511454126605,"(0) Cov","shed-gamma"
"38","high - low",1.22061922424285,0.0130060934925233,137,15.3280684126344,1.01030295240889e-14,0.595879401204689,"(-) Cov","shed-gamma"
"39","high - med",1.10130577817364,0.0130657514476222,137,7.38545710488442,4.02878841399001e-11,0.595879401204689,"(-) Cov","shed-gamma"
"40","low - med",0.90225170659325,0.0124090250432384,137,-8.28926878756431,3.21076498721595e-13,0.595879401204689,"(-) Cov","shed-gamma"
"41","high - low",1.11975778198999,0.0126186406653444,139,8.96391289977895,3.54161144855425e-14,0.214594923964177,"(+) Cov","shed-gamma"
"42","high - med",1.09493838724233,0.0126780358322126,139,7.15395472351883,1.32256761098404e-10,0.214594923964177,"(+) Cov","shed-gamma"
"43","low - med",0.977835032587541,0.0121962097332142,139,-1.83780879480255,0.161155885554527,0.214594923964177,"(+) Cov","shed-gamma"
"44","high - low",1.25780156990631,0.011104832388677,146,20.6545585953225,1.0769163338864e-14,0.213963130529166,"(0) Cov","alpha-gamma"
"45","high - med",1.19359285506745,0.011104832388677,146,15.9361220610504,1.0769163338864e-14,0.213963130529166,"(0) Cov","alpha-gamma"
"46","low - med",0.948951634045391,0.0110486050279496,146,-4.74244908901639,1.47876078100406e-05,0.213963130529166,"(0) Cov","alpha-gamma"
"47","high - low",1.25198502403189,0.00981502590626573,146,22.8965581055704,1.0769163338864e-14,0.0730269845676271,"(-) Cov","alpha-gamma"
"48","high - med",1.21769627749824,0.00986497547010514,146,19.965663080348,1.0769163338864e-14,0.0730269845676271,"(-) Cov","alpha-gamma"
"49","low - med",0.972612494658106,0.00986497547010515,146,-2.81496234051758,0.0152461114103786,0.0730269845676271,"(-) Cov","alpha-gamma"
"50","high - low",1.31630285245902,0.0114696317304259,146,23.9612695450267,1.0769163338864e-14,0.646767770724138,"(+) Cov","alpha-gamma"
"51","high - med",1.22745958117349,0.0114115572725553,146,17.9595691883699,1.0769163338864e-14,0.646767770724138,"(+) Cov","alpha-gamma"
"52","low - med",0.932505448028498,0.0114696317304259,146,-6.09263546849978,2.81299236126742e-08,0.646767770724138,"(+) Cov","alpha-gamma"
